bathroom_count,bedroom_count,build_year,cadastral_income,consumption_per_m2,epc,fireplace_count,fireplace_exists,furnish_exists,garden_exists,garden_orientation,garden_surface,gas_water_electricity_exists,habitable_surface,has_starting_price,heating_type,immoweb_id,is_holiday_property,kitchen_exists,kitchen_surface,kitchen_type,land_surface,living_surface,location,parking_box_count,parking_count_inside,parking_count_outside,postal_code,price,property_type,room_count,sale_type,sea_view_exists,sewer_exists,state_of_building,subtype,swimming_pool,terrace_exists,terrace_orientation,terrace_surface,toilet_count,transaction_subtype,url,wall_count
3,7,,0,148,B,,False,False,False,,,,,False,GAS,10803493,,True,1776,USA_HYPER_EQUIPPED,,30,Gent,,1,,9000,1799000,APARTMENT,16,NORMAL_SALE,,,AS_NEW,APARTMENT,,False,,,6,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/Gent/9000/10803493,2
2,5,,1970,,D,,False,False,False,,,True,,False,GAS,10996285,,False,18,,327,,Gent,,2,,9000,1800000,HOUSE,10,NORMAL_SALE,,CONNECTED,TO_BE_DONE_UP,HOUSE,,False,,,3,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/10996285,2
3,7,,0,,,,False,False,False,,,True,,False,GAS,10803492,,True,1776,USA_HYPER_EQUIPPED,216,30,Gent,,1,,9000,1799000,HOUSE,16,NORMAL_SALE,,CONNECTED,AS_NEW,APARTMENT_BLOCK,,False,,,6,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/10803492,2
2,5,1927,3832,386,D,,False,False,False,,,False,564,False,GAS,10966830,,False,,,943,,Gent,,1,2,9000,1795000,HOUSE,10,NORMAL_SALE,,CONNECTED,GOOD,HOUSE,,False,,,3,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/10966830,4
5,11,,0,300,C,,False,False,False,,,,,False,,10926549,,False,,,0,,Zwijnaarde,,,1,9052,1775000,HOUSE,21,NORMAL_SALE,,CONNECTED,,APARTMENT_BLOCK,,False,,,5,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Zwijnaarde/9052/10926549,
,0,,0,,,-1,True,False,False,,,True,,False,GAS,10930209,,True,,SEMI_EQUIPPED,982,,SINT-GILLIS-WAAS,,4,8,9170,1850000,HOUSE,,NORMAL_SALE,,,GOOD,APARTMENT_BLOCK,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/SINT-GILLIS-WAAS/9170/10930209,4
,,,0,,,,False,False,False,,,,,,,10967201,,False,,,,,Gent,,,,9000,,APARTMENT_GROUP,,NORMAL_SALE,,,,APARTMENT_GROUP,,False,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment_group/for-sale/Gent/9000/10967201,
2,3,2023,0,,,1,True,False,False,,,,197,False,SOLAR,10967092,,True,,HYPER_EQUIPPED,,,Gent,,1,,9000,1765000,APARTMENT,7,NORMAL_SALE,,,AS_NEW,PENTHOUSE,,False,,,2,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/Gent/9000/10967092,3
2,5,1927,3832,386,D,,False,False,True,SOUTH_WEST,1,False,565,False,,11042322,,True,,HYPER_EQUIPPED,943,,Gent,,1,4,9000,1795000,HOUSE,7,NORMAL_SALE,,,AS_NEW,VILLA,False,True,SOUTH_WEST,1,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/11042322,4
5,2,1850,0,375,D,,False,False,True,SOUTH,2000,,453,False,,11148281,,False,38,,469,49,Gent,,,,9000,1750000,HOUSE,8,NORMAL_SALE,,,GOOD,MANOR_HOUSE,,True,,38,1,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/11148281,
5,2,1850,0,375,D,,False,False,True,SOUTH,2000,,453,False,,11145563,,False,38,,469,49,Gent,,,,9000,1750000,HOUSE,8,NORMAL_SALE,,,GOOD,MANOR_HOUSE,,True,,38,1,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/11145563,
3,3,1888,3472,340,D,,False,False,False,,,True,230,,,10489815,,False,8,,77,20,Gent,,,,9000,1650000,HOUSE,11,NORMAL_SALE,,CONNECTED,,HOUSE,False,False,,,5,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Gent/9000/10489815,2
2,2,2022,0,,,,False,False,False,,,,220,False,,9917054,False,True,,HYPER_EQUIPPED,,,St-Denijs-Westrem,,,,9051,1685000,APARTMENT,6,NORMAL_SALE,,,AS_NEW,APARTMENT,,True,,96,2,BUY_REGULAR,https://www.immoweb.be/en/classified/apartment/for-sale/St-Denijs-Westrem/9051/9917054,4
6,6,,0,,,-1,True,False,False,,,False,600,False,GAS,11123785,,True,,HYPER_EQUIPPED,50000,,Geraardsbergen,,3,,9500,1695000,HOUSE,12,NORMAL_SALE,,,AS_NEW,MANOR_HOUSE,,True,,,,BUY_REGULAR,https://www.immoweb.be/en/classified/house/for-sale/Geraardsbergen/9500/11123785,4
